DELETED -1 DUE TO FORK: [0, 1] [0, 2] [1, 0] [1, 1]
                DELETED -1 DUE TO FORK: [0, 1] [0, 2] [1, 0] [2, 2]
                DELETED -1 DUE TO FORK: [0, 1] [0, 2] [1, 2] [1, 1]
                DELETED -1 DUE TO FORK: [0, 1] [0, 2] [1, 2] [2, 0]
                DELETED -1 DUE TO FORK: [0, 1] [0, 2] [2, 0] [2, 2]
                DELETED -1 DUE TO FORK: [0, 1] [0, 2] [2, 1] [1, 1]
                DELETED -1 DUE TO FORK: [0, 1] [0, 2] [2, 1] [2, 0]
                DELETED -1 DUE TO FORK: [0, 1] [0, 2] [2, 1] [2, 2]
                DELETED -1 DUE TO FORK: [0, 1] [0, 2] [2, 2] [2, 0]
                DELETED -1 DUE TO FORK: [0, 1] [1, 0] [0, 2] [1, 1]
                DELETED -1 DUE TO FORK: [0, 1] [1, 0] [0, 2] [1, 2]
                DELETED -1 DUE TO FORK: [0, 1] [1, 0] [1, 2] [1, 1]
                DELETED -1 DUE TO FORK: [0, 1] [1, 0] [2, 0] [1, 1]
                DELETED -1 DUE TO FORK: [0, 1] [1, 0] [2, 1] [1, 1]
                DELETED -1 DUE TO FORK: [0, 1] [1, 0] [2, 1] [1, 2]
                DELETED -1 DUE TO FORK: [0, 1] [1, 0] [2, 2] [1, 1]
                DELETED -1 DUE TO FORK: [0, 1] [1, 0] [2, 2] [1, 2]
                DELETED -1 DUE TO FORK: [0, 1] [1, 1] [0, 2] [1, 0]
                DELETED -1 DUE TO FORK: [0, 1] [1, 1] [0, 2] [1, 2]
                DELETED -1 DUE TO FORK: [0, 1] [1, 1] [0, 2] [2, 0]
                DELETED -1 DUE TO FORK: [0, 1] [1, 1] [1, 0] [0, 2]
                DELETED -1 DUE TO FORK: [0, 1] [1, 1] [1, 0] [2, 0]
                DELETED -1 DUE TO FORK: [0, 1] [1, 1] [1, 2] [0, 2]
                DELETED -1 DUE TO FORK: [0, 1] [1, 1] [1, 2] [1, 0]
